id_doc,titre,texte,langue,date_publication,source_nom,id_type_donnee,type_donnee,date_collecte,format,humeur_label,humeur_score,valence,emotion,territoire_code_insee,territoire_commune,territoire_departement,territoire_region,annotation_status,annotation_date,annotator_id,annotation_keywords_yake,annotation_entities_spacy,annotation_polarity,annotation_intensity,annotation_summary
4,"Météo Lille,FR","Température: 5.18°C, légère pluie",fr,2025-11-18 23:27:33.998374,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""PER"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""MISC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (PER), C (MISC)"
3,"Météo Marseille,FR","Température: 6.86°C, ciel dégagé",fr,2025-11-18 23:27:33.301353,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""LOC"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""MISC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (LOC), C (MISC)"
2,"Météo Lyon,FR","Température: -2.65°C, ciel dégagé",fr,2025-11-18 23:27:32.571625,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.02570861714399338"", ""0.04491197687864554"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Température"", ""label"": ""PER"", ""start"": 0, ""end"": 11}]",neutre,0.1,"Keywords: 0.02570861714399338, 0.04491197687864554, 0.15831692877998726, 0.15831692877998726 | Entities: Température (PER)"
1,"Météo Paris,FR","Température: 6.27°C, couvert",fr,2025-11-18 23:27:31.822739,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api,,,,,,,,,pending,,,"[""0.04491197687864554"", ""0.04491197687864554""]","[{""text"": ""Température"", ""label"": ""LOC"", ""start"": 0, ""end"": 11}, {""text"": ""C"", ""label"": ""LOC"", ""start"": 18, ""end"": 19}]",neutre,0.1,"Keywords: 0.04491197687864554, 0.04491197687864554 | Entities: Température (LOC), C (LOC)"
10,Le Liban fait état d'au moins 13 morts dans une frappe israélienne sur un camp de réfugiés palestiniens,"De son côté, l'armée israélienne a affirmé avoir frappé un camp d'entraînement du Hamas.",fr,2025-11-18 22:06:24.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.026233073037508336"", ""0.04940384002065631"", ""0.08596317751626563"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.15831692877998726"", ""0.15831692877998726"", ""0.29736558256021506""]","[{""text"": ""Hamas"", ""label"": ""ORG"", ""start"": 82, ""end"": 87}]",neutre,0.1,"Keywords: 0.026233073037508336, 0.04940384002065631, 0.08596317751626563, 0.09700399286574239, 0.09700399286574239 | Entities: Hamas (ORG)"
13,Municipales 2026 : Les Républicains apportent leur soutien à Louis Sarkozy à Menton,"Chroniqueur pour LCI, RMC et le magazine conservateur Valeurs actuelles, le fils de l'ancien président de la République s'était déclaré candidat dans la ville portuaire à la frontière italienne en septembre.",fr,2025-11-18 22:02:16.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0006052376660884209"", ""0.0009123104856698896"", ""0.0009123104856698896"", ""0.0016012214736657916"", ""0.0036984844327355177"", ""0.005157590407455398"", ""0.007743432063478832"", ""0.007743432063478832"", ""0.00899321792126428"", ""0.013527995261974615""]","[{""text"": ""LCI"", ""label"": ""ORG"", ""start"": 17, ""end"": 20}, {""text"": ""RMC"", ""label"": ""ORG"", ""start"": 22, ""end"": 25}, {""text"": ""Valeurs actuelles"", ""label"": ""ORG"", ""start"": 54, ""end"": 71}, {""text"": ""président de la République"", ""label"": ""PER"", ""start"": 93, ""end"": 119}]",neutre,0.1,"Keywords: 0.0006052376660884209, 0.0009123104856698896, 0.0009123104856698896, 0.0016012214736657916, 0.0036984844327355177 | Entities: LCI (ORG), RMC (ORG), Valeurs actuelles (ORG), président de la République (PER)"
12,Les députés américains votent pour la publication des documents de l'affaire Epstein après une volte-face de Donald Trump,"Après avoir mené pendant des mois une campagne pour contrecarrer la tenue de ce vote à la Chambre, le président américain avait finalement apporté son soutien au texte dimanche.",fr,2025-11-18 21:49:19.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.015380821171891606"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.057012387690331526"", ""0.09568045026443411""]","[{""text"": ""Chambre"", ""label"": ""ORG"", ""start"": 90, ""end"": 97}]",neutre,0.1,"Keywords: 0.015380821171891606, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338 | Entities: Chambre (ORG)"
81,Le rappeur Zola a été placé en garde à vue pour séquestration et violences aggravées,"L’artiste est accusé avec trois autres personnes d’avoir séquestré, violenté et humilié un jeune admirateur qui aurait voulu le photographier à son domicile dans la commune du Pin, en Seine-et-Marne, le 6 novembre.",fr,2025-11-18 21:42:03.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.009108237309423345"", ""0.015380821171891606"", ""0.015380821171891606"", ""0.015380821171891606"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.04491197687864554""]","[{""text"": ""Pin"", ""label"": ""LOC"", ""start"": 176, ""end"": 179}, {""text"": ""Seine-et-Marne"", ""label"": ""LOC"", ""start"": 184, ""end"": 198}]",neutre,0.1,"Keywords: 0.009108237309423345, 0.015380821171891606, 0.015380821171891606, 0.015380821171891606, 0.02570861714399338 | Entities: Pin (LOC), Seine-et-Marne (LOC)"
11,"La taxe foncière va augmenter pour 7,4 millions de logements en 2026, conséquence d'une mise à jour de données","Cette réévaluation vise à mieux prendre en compte certains critères dits ""de confort"", tels que la présence d'eau courante, d'électricité, de WC ou de lavabos dans le logement.",fr,2025-11-18 21:18:06.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0010606143890052174"", ""0.00899321792126428"", ""0.00899321792126428"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.04491197687864554""]","[{""text"": ""WC"", ""label"": ""LOC"", ""start"": 142, ""end"": 144}]",neutre,0.1,"Keywords: 0.0010606143890052174, 0.00899321792126428, 0.00899321792126428, 0.013527995261974615, 0.013527995261974615 | Entities: WC (LOC)"
41,Etats-Unis : Comment Marjorie Greene est passée de groupie à nouvelle ennemie de Trump ?,"La rupture entre Trump et Marjorie Taylor Greene révèle une fracture inédite au sein du mouvement MAGA, sur fond d’affaire Epstein, de tensions économiques et de luttes d’influence",fr,2025-11-18 21:11:48.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0006487982591412822"", ""0.0012089197967110022"", ""0.001488913964133022"", ""0.007444681613352736"", ""0.007444681613352736"", ""0.007444681613352736"", ""0.009108237309423345"", ""0.009108237309423345"", ""0.013797198203993007"", ""0.013797198203993007""]","[{""text"": ""Trump"", ""label"": ""PER"", ""start"": 17, ""end"": 22}, {""text"": ""Marjorie Taylor Greene"", ""label"": ""PER"", ""start"": 26, ""end"": 48}, {""text"": ""MAGA"", ""label"": ""ORG"", ""start"": 98, ""end"": 102}, {""text"": ""Epstein"", ""label"": ""PER"", ""start"": 123, ""end"": 130}]",negative,0.036,"Keywords: 0.0006487982591412822, 0.0012089197967110022, 0.001488913964133022, 0.007444681613352736, 0.007444681613352736 | Entities: Trump (PER), Marjorie Taylor Greene (PER), MAGA (ORG), Epstein (PER)"
72,Un tribunal américain annule le redécoupage électoral du Texas favorisant les républicains,"Saisi par des électeurs afro-américains et latinos qui considéraient ce redécoupage électoral comme « discriminatoire », le tribunal a suspendu, mardi, la loi et ordonné aux autorités d’utiliser pour les élections de mi-mandat la même carte électorale qu’en 2024.",fr,2025-11-18 21:06:08.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0025258761156662004"", ""0.015380821171891606"", ""0.015380821171891606"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338""]",[],neutre,0.1,"Keywords: 0.0025258761156662004, 0.015380821171891606, 0.015380821171891606, 0.02570861714399338, 0.02570861714399338"
21,Condamnation de Brice Hortefeux : la préfète d'Auvergne-Rhône-Alpes acte la démission de ses fonctions de conseiller régional,"L'ancien ministre a été condamné le 25 septembre pour association de malfaiteur, dans le cadre de l'affaire du financement libyen de la campagne présidentielle de Nicolas Sarkozy.",fr,2025-11-18 20:58:03.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0024724148017484047"", ""0.005484890844946624"", ""0.0065920978564317735"", ""0.0065920978564317735"", ""0.0065920978564317735"", ""0.009239332327148086"", ""0.009239332327148086"", ""0.009239332327148086"", ""0.009239332327148086"", ""0.04325931859548787""]","[{""text"": ""Nicolas Sarkozy"", ""label"": ""PER"", ""start"": 163, ""end"": 178}]",neutre,0.1,"Keywords: 0.0024724148017484047, 0.005484890844946624, 0.0065920978564317735, 0.0065920978564317735, 0.0065920978564317735 | Entities: Nicolas Sarkozy (PER)"
82,Viol à caractère antisémite à Courbevoie : la peine d’un mineur réduite en appel à sept ans de prison,"Agé de 13 ans à l’époque des faits, le jeune homme avait interjeté appel après avoir été condamné par le tribunal pour enfants de Nanterre à neuf ans de prison pour viol en réunion sur mineur de moins de 15 ans à raison de la religion.",fr,2025-11-18 20:55:02.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.004995098390693273"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.008734081567426746"", ""0.017035053073699208"", ""0.017035053073699208""]","[{""text"": ""Nanterre"", ""label"": ""LOC"", ""start"": 130, ""end"": 138}]",neutre,0.1,"Keywords: 0.004995098390693273, 0.008734081567426746, 0.008734081567426746, 0.008734081567426746, 0.008734081567426746 | Entities: Nanterre (LOC)"
8,"""Mohammed ben Salmane n'était au courant de rien"" : Donald Trump défend le prince héritier saoudien, interrogé sur l'assassinat du journaliste Jamal Khashoggi",Le président américain a reçu Mohammed ben Salmane avec plus d'égards que tout autre dirigeant venu à la Maison Blanche depuis son retour au pouvoir en janvier.,fr,2025-11-18 20:42:32.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.00688415006041516"", ""0.015042304599106411"", ""0.02140921543860024"", ""0.04498862876540802"", ""0.04498862876540802"", ""0.04498862876540802"", ""0.04940384002065631"", ""0.09700399286574239"", ""0.09700399286574239"", ""0.09700399286574239""]","[{""text"": ""Mohammed ben Salmane"", ""label"": ""PER"", ""start"": 30, ""end"": 50}, {""text"": ""Maison Blanche"", ""label"": ""LOC"", ""start"": 105, ""end"": 119}]",neutre,0.1,"Keywords: 0.00688415006041516, 0.015042304599106411, 0.02140921543860024, 0.04498862876540802, 0.04498862876540802 | Entities: Mohammed ben Salmane (PER), Maison Blanche (LOC)"
73,L’équipe de France de tennis balayée par la Belgique en quarts de finale de la Coupe Davis,"A Bologne, les Bleus de Paul-Henri Mathieu ont perdu leurs deux rencontres de simple face aux Belges, qui se qualifient pour le dernier carré. Une grossière faute de jugement du fantasque Corentin Moutet a symbolisé la faillite tricolore.",fr,2025-11-18 20:39:42.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.008334116283452563"", ""0.01143354430345338"", ""0.01143354430345338"", ""0.01143354430345338"", ""0.015099935621315529"", ""0.02249651976012989"", ""0.02249651976012989"", ""0.022800252461321665"", ""0.0521883172778223"", ""0.05572221155747183""]","[{""text"": ""Bologne"", ""label"": ""LOC"", ""start"": 2, ""end"": 9}, {""text"": ""Bleus"", ""label"": ""ORG"", ""start"": 15, ""end"": 20}, {""text"": ""Paul-Henri Mathieu"", ""label"": ""PER"", ""start"": 24, ""end"": 42}, {""text"": ""Belges"", ""label"": ""LOC"", ""start"": 94, ""end"": 100}, {""text"": ""Corentin Moutet"", ""label"": ""PER"", ""start"": 188, ""end"": 203}]",neutre,0.1,"Keywords: 0.008334116283452563, 0.01143354430345338, 0.01143354430345338, 0.01143354430345338, 0.015099935621315529 | Entities: Bologne (LOC), Bleus (ORG), Paul-Henri Mathieu (PER), Belges (LOC), Corentin Moutet (PER)"
43,Paris : Pourquoi la mairie vise Dati en interdisant aux élus d’intervenir dans l’attribution de logements sociaux ?,"Paris renforce ses règles d’éthique. Après des accusations visant Rachida Dati, le Conseil de Paris interdit toute intervention d’un élu dans les demandes de logements sociaux de leurs proches",fr,2025-11-18 20:36:44.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.02034643494517978"", ""0.02200614361989435"", ""0.030120061121783785"", ""0.04256969440419523"", ""0.04507676667339635"", ""0.05789179987907509"", ""0.10939089520950872"", ""0.11069675727132847"", ""0.11661560528786064"", ""0.11674283886689028""]","[{""text"": ""Paris"", ""label"": ""LOC"", ""start"": 0, ""end"": 5}, {""text"": ""Rachida Dati"", ""label"": ""PER"", ""start"": 66, ""end"": 78}, {""text"": ""Conseil de Paris"", ""label"": ""ORG"", ""start"": 83, ""end"": 99}]",neutre,0.1,"Keywords: 0.02034643494517978, 0.02200614361989435, 0.030120061121783785, 0.04256969440419523, 0.04507676667339635 | Entities: Paris (LOC), Rachida Dati (PER), Conseil de Paris (ORG)"
69,"Les limites des « cellules de déontologie », juges et partie des manquements au sein de la police",L’enquête d’une organisation qui milite contre les violences policières souligne les différences territoriales et les problèmes de méthodes que posent ces structures locales internes chargées d’enquêtes déontologiques. Le député socialiste Roger Vicot annonce qu’il va demander la mise en place d’une commission d’enquête sur le sujet.,fr,2025-11-18 20:16:46.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.005538403911413503"", ""0.005538403911413503"", ""0.005538403911413503"", ""0.007388396847889365"", ""0.007388396847889366"", ""0.011090504388329883"", ""0.02970272646831251"", ""0.029702726468312516"", ""0.03054360784562678"", ""0.03054360784562678""]","[{""text"": ""Roger Vicot"", ""label"": ""PER"", ""start"": 240, ""end"": 251}]",neutre,0.1,"Keywords: 0.005538403911413503, 0.005538403911413503, 0.005538403911413503, 0.007388396847889365, 0.007388396847889366 | Entities: Roger Vicot (PER)"
14,"Radio France et France Télévisions portent plainte contre CNews, Europe 1 et ""Le JDD""","Ces plaintes interviennent sur fond de conflit avec les médias privés de Vincent Bolloré, qui accusent l'audiovisuel public de partialité.",fr,2025-11-18 20:14:09.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0016012214736657916"", ""0.003186830720042235"", ""0.007743432063478832"", ""0.00899321792126428"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615""]","[{""text"": ""Vincent Bolloré"", ""label"": ""PER"", ""start"": 73, ""end"": 88}]",neutre,0.1,"Keywords: 0.0016012214736657916, 0.003186830720042235, 0.007743432063478832, 0.00899321792126428, 0.013527995261974615 | Entities: Vincent Bolloré (PER)"
36,"Obsèques de Mehdi Kessaci : « Choquée » et « apeurée », Marseille essuie ses larmes sous haute surveillance","Le militant engagé contre le narcotrafic Amine Kessaci et sa famille, entourés de nombreux soutiens, ont enterré son petit frère Mehdi, abattu jeudi dans ce qui semble être le premier « assassinat d’intimidation » à Marseille",fr,2025-11-18 20:01:13.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.000520831271389681"", ""0.0006525952843256722"", ""0.00444318827900726"", ""0.005548741293751374"", ""0.005987543063120938"", ""0.007743432063478832"", ""0.00899321792126428"", ""0.013527995261974615"", ""0.013527995261974615"", ""0.013527995261974615""]","[{""text"": ""Amine Kessaci"", ""label"": ""PER"", ""start"": 41, ""end"": 54}, {""text"": ""Mehdi"", ""label"": ""PER"", ""start"": 129, ""end"": 134}, {""text"": ""Marseille"", ""label"": ""LOC"", ""start"": 216, ""end"": 225}]",neutre,0.1,"Keywords: 0.000520831271389681, 0.0006525952843256722, 0.00444318827900726, 0.005548741293751374, 0.005987543063120938 | Entities: Amine Kessaci (PER), Mehdi (PER), Marseille (LOC)"
66,Affaire Epstein : la Chambre des représentants américaine vote pour la publication des documents d’enquête,"Donald Trump était accusé d’essayer de dissimuler des éléments l’impliquant dans cette affaire en bloquant ce vote, ce qu’il a démenti. Le texte sera désormais soumis au Sénat.",fr,2025-11-18 19:56:14.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.012144316412564459"", ""0.01984585111858601"", ""0.02541909697430123"", ""0.02541909697430123"", ""0.04188746641162499"", ""0.04188746641162499"", ""0.04188746641162499"", ""0.04188746641162499"", ""0.04188746641162499"", ""0.09705179139403544""]","[{""text"": ""Donald Trump"", ""label"": ""PER"", ""start"": 0, ""end"": 12}, {""text"": ""Sénat"", ""label"": ""ORG"", ""start"": 170, ""end"": 175}]",neutre,0.1,"Keywords: 0.012144316412564459, 0.01984585111858601, 0.02541909697430123, 0.02541909697430123, 0.04188746641162499 | Entities: Donald Trump (PER), Sénat (ORG)"
33,"Emmanuel Macron se dit ""disponible"" pour échanger avec le président algérien afin de pouvoir ""avancer""","Un début d'apaisement entre Paris et Alger semble s'esquisser, depuis la grâce accordée la semaine dernière par Abdelmadjid Tebboune à l'écrivain franco-algérien Boualem Sansal.",fr,2025-11-18 19:55:22.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0007966053627238118"", ""0.0013485152131775047"", ""0.002263175936744087"", ""0.004925103769790319"", ""0.007444681613352736"", ""0.007444681613352736"", ""0.013797198203993007"", ""0.013797198203993007"", ""0.013797198203993007"", ""0.013797198203993007""]","[{""text"": ""Paris"", ""label"": ""LOC"", ""start"": 28, ""end"": 33}, {""text"": ""Alger"", ""label"": ""LOC"", ""start"": 37, ""end"": 42}, {""text"": ""Abdelmadjid Tebboune"", ""label"": ""PER"", ""start"": 112, ""end"": 132}, {""text"": ""Boualem Sansal"", ""label"": ""PER"", ""start"": 162, ""end"": 176}]",neutre,0.1,"Keywords: 0.0007966053627238118, 0.0013485152131775047, 0.002263175936744087, 0.004925103769790319, 0.007444681613352736 | Entities: Paris (LOC), Alger (LOC), Abdelmadjid Tebboune (PER), Boualem Sansal (PER)"
78,"Assassinat de Khashoggi : Donald Trump défend le prince héritier saoudien, qui promet 1 000 milliards d’investissements aux Etats-Unis","L’affaire Khashoggi, du nom d’un journaliste assassiné en 2018, a relégué au second plan les autres dossiers de la visite de Mohammed Ben Salman, qui a reçu un accueil digne d’un chef d’Etat.",fr,2025-11-18 19:38:53.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0005023106411678418"", ""0.004931303718310136"", ""0.00549051668090063"", ""0.006436556097078653"", ""0.008225694406574719"", ""0.008305558720764548"", ""0.008305558720764548"", ""0.008305558720764548"", ""0.00830555872076455"", ""0.01594612648757867""]","[{""text"": ""Khashoggi"", ""label"": ""PER"", ""start"": 10, ""end"": 19}, {""text"": ""Mohammed Ben Salman"", ""label"": ""PER"", ""start"": 125, ""end"": 144}, {""text"": ""Etat"", ""label"": ""LOC"", ""start"": 186, ""end"": 190}]",neutre,0.1,"Keywords: 0.0005023106411678418, 0.004931303718310136, 0.00549051668090063, 0.006436556097078653, 0.008225694406574719 | Entities: Khashoggi (PER), Mohammed Ben Salman (PER), Etat (LOC)"
16,Deux Ukrainiens au service de Moscou soupçonnés de deux actes de sabotage sur une voie ferrée en Pologne,"Peu de temps après les incidents, les deux suspects auraient quitté le territoire polonais pour la Biélorussie.",fr,2025-11-18 19:37:09.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss,,,,,,,,,pending,,,"[""0.0042542192213185686"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.02570861714399338"", ""0.057012387690331526"", ""0.09568045026443411"", ""0.15831692877998726"", ""0.15831692877998726"", ""0.15831692877998726""]","[{""text"": ""Biélorussie"", ""label"": ""LOC"", ""start"": 99, ""end"": 110}]",neutre,0.1,"Keywords: 0.0042542192213185686, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338, 0.02570861714399338 | Entities: Biélorussie (LOC)"
