id_doc,titre,texte,langue,date_publication,source_nom,id_type_donnee,type_donnee,date_collecte,format
4,"Météo Lille,FR","Température: 5.18°C, légère pluie",fr,2025-11-18 23:27:33.998374,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api
3,"Météo Marseille,FR","Température: 6.86°C, ciel dégagé",fr,2025-11-18 23:27:33.301353,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api
2,"Météo Lyon,FR","Température: -2.65°C, ciel dégagé",fr,2025-11-18 23:27:32.571625,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api
1,"Météo Paris,FR","Température: 6.27°C, couvert",fr,2025-11-18 23:27:31.822739,OpenWeatherMap API,3,Données Opérationnelles,2025-11-18 22:27:31.006977,api
10,Le Liban fait état d'au moins 13 morts dans une frappe israélienne sur un camp de réfugiés palestiniens,"De son côté, l'armée israélienne a affirmé avoir frappé un camp d'entraînement du Hamas.",fr,2025-11-18 22:06:24.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
13,Municipales 2026 : Les Républicains apportent leur soutien à Louis Sarkozy à Menton,"Chroniqueur pour LCI, RMC et le magazine conservateur Valeurs actuelles, le fils de l'ancien président de la République s'était déclaré candidat dans la ville portuaire à la frontière italienne en septembre.",fr,2025-11-18 22:02:16.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
12,Les députés américains votent pour la publication des documents de l'affaire Epstein après une volte-face de Donald Trump,"Après avoir mené pendant des mois une campagne pour contrecarrer la tenue de ce vote à la Chambre, le président américain avait finalement apporté son soutien au texte dimanche.",fr,2025-11-18 21:49:19.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
81,Le rappeur Zola a été placé en garde à vue pour séquestration et violences aggravées,"L’artiste est accusé avec trois autres personnes d’avoir séquestré, violenté et humilié un jeune admirateur qui aurait voulu le photographier à son domicile dans la commune du Pin, en Seine-et-Marne, le 6 novembre.",fr,2025-11-18 21:42:03.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
11,"La taxe foncière va augmenter pour 7,4 millions de logements en 2026, conséquence d'une mise à jour de données","Cette réévaluation vise à mieux prendre en compte certains critères dits ""de confort"", tels que la présence d'eau courante, d'électricité, de WC ou de lavabos dans le logement.",fr,2025-11-18 21:18:06.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
41,Etats-Unis : Comment Marjorie Greene est passée de groupie à nouvelle ennemie de Trump ?,"La rupture entre Trump et Marjorie Taylor Greene révèle une fracture inédite au sein du mouvement MAGA, sur fond d’affaire Epstein, de tensions économiques et de luttes d’influence",fr,2025-11-18 21:11:48.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
72,Un tribunal américain annule le redécoupage électoral du Texas favorisant les républicains,"Saisi par des électeurs afro-américains et latinos qui considéraient ce redécoupage électoral comme « discriminatoire », le tribunal a suspendu, mardi, la loi et ordonné aux autorités d’utiliser pour les élections de mi-mandat la même carte électorale qu’en 2024.",fr,2025-11-18 21:06:08.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
21,Condamnation de Brice Hortefeux : la préfète d'Auvergne-Rhône-Alpes acte la démission de ses fonctions de conseiller régional,"L'ancien ministre a été condamné le 25 septembre pour association de malfaiteur, dans le cadre de l'affaire du financement libyen de la campagne présidentielle de Nicolas Sarkozy.",fr,2025-11-18 20:58:03.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
82,Viol à caractère antisémite à Courbevoie : la peine d’un mineur réduite en appel à sept ans de prison,"Agé de 13 ans à l’époque des faits, le jeune homme avait interjeté appel après avoir été condamné par le tribunal pour enfants de Nanterre à neuf ans de prison pour viol en réunion sur mineur de moins de 15 ans à raison de la religion.",fr,2025-11-18 20:55:02.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
8,"""Mohammed ben Salmane n'était au courant de rien"" : Donald Trump défend le prince héritier saoudien, interrogé sur l'assassinat du journaliste Jamal Khashoggi",Le président américain a reçu Mohammed ben Salmane avec plus d'égards que tout autre dirigeant venu à la Maison Blanche depuis son retour au pouvoir en janvier.,fr,2025-11-18 20:42:32.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
73,L’équipe de France de tennis balayée par la Belgique en quarts de finale de la Coupe Davis,"A Bologne, les Bleus de Paul-Henri Mathieu ont perdu leurs deux rencontres de simple face aux Belges, qui se qualifient pour le dernier carré. Une grossière faute de jugement du fantasque Corentin Moutet a symbolisé la faillite tricolore.",fr,2025-11-18 20:39:42.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
43,Paris : Pourquoi la mairie vise Dati en interdisant aux élus d’intervenir dans l’attribution de logements sociaux ?,"Paris renforce ses règles d’éthique. Après des accusations visant Rachida Dati, le Conseil de Paris interdit toute intervention d’un élu dans les demandes de logements sociaux de leurs proches",fr,2025-11-18 20:36:44.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
69,"Les limites des « cellules de déontologie », juges et partie des manquements au sein de la police",L’enquête d’une organisation qui milite contre les violences policières souligne les différences territoriales et les problèmes de méthodes que posent ces structures locales internes chargées d’enquêtes déontologiques. Le député socialiste Roger Vicot annonce qu’il va demander la mise en place d’une commission d’enquête sur le sujet.,fr,2025-11-18 20:16:46.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
14,"Radio France et France Télévisions portent plainte contre CNews, Europe 1 et ""Le JDD""","Ces plaintes interviennent sur fond de conflit avec les médias privés de Vincent Bolloré, qui accusent l'audiovisuel public de partialité.",fr,2025-11-18 20:14:09.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
36,"Obsèques de Mehdi Kessaci : « Choquée » et « apeurée », Marseille essuie ses larmes sous haute surveillance","Le militant engagé contre le narcotrafic Amine Kessaci et sa famille, entourés de nombreux soutiens, ont enterré son petit frère Mehdi, abattu jeudi dans ce qui semble être le premier « assassinat d’intimidation » à Marseille",fr,2025-11-18 20:01:13.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
66,Affaire Epstein : la Chambre des représentants américaine vote pour la publication des documents d’enquête,"Donald Trump était accusé d’essayer de dissimuler des éléments l’impliquant dans cette affaire en bloquant ce vote, ce qu’il a démenti. Le texte sera désormais soumis au Sénat.",fr,2025-11-18 19:56:14.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
33,"Emmanuel Macron se dit ""disponible"" pour échanger avec le président algérien afin de pouvoir ""avancer""","Un début d'apaisement entre Paris et Alger semble s'esquisser, depuis la grâce accordée la semaine dernière par Abdelmadjid Tebboune à l'écrivain franco-algérien Boualem Sansal.",fr,2025-11-18 19:55:22.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
78,"Assassinat de Khashoggi : Donald Trump défend le prince héritier saoudien, qui promet 1 000 milliards d’investissements aux Etats-Unis","L’affaire Khashoggi, du nom d’un journaliste assassiné en 2018, a relégué au second plan les autres dossiers de la visite de Mohammed Ben Salman, qui a reçu un accueil digne d’un chef d’Etat.",fr,2025-11-18 19:38:53.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
16,Deux Ukrainiens au service de Moscou soupçonnés de deux actes de sabotage sur une voie ferrée en Pologne,"Peu de temps après les incidents, les deux suspects auraient quitté le territoire polonais pour la Biélorussie.",fr,2025-11-18 19:37:09.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
71,"Face à CNews, France Télévisions et Radio France portent la riposte sur le terrain judiciaire","Les deux entreprises de l’audiovisuel public ont saisi le tribunal de commerce pour « dénigrement », après la campagne menée par les médias du groupe Bolloré lors de la divulgation, en septembre, de la vidéo des journalistes Thomas Legrand et Patrick Cohen avec des représentants du Parti socialiste.",fr,2025-11-18 19:35:39.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
67,"EN DIRECT, Liban : au moins treize morts dans une frappe israélienne sur un camp de réfugiés palestiniens","Le ministère libanais de la santé a fait état, mardi soir, de onze morts dans une frappe israélienne sur un véhicule dans un camp de réfugiés palestiniens du sud du Liban, tandis que l’armée israélienne dit avoir frappé un camp d’entraînement du mouvement islamiste palestinien Hamas.",fr,2025-11-18 19:24:47.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
15,"Futur avion de combat européen  : Emmanuel Macron évoque une ""obligation de résultat"" au côté du chancelier allemand","Lancé en 2017 comme symbole de la coopération de défense entre Berlin et Paris, avant d'être rejoint par l'Espagne, ce projet peine à décoller à cause de divergences entre les entreprises impliquées.",fr,2025-11-18 19:22:17.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
18,"La vente de la Pascaline, machine à calculer inventée par Blaise Pascal, est suspendue",Des scientifiques et chercheurs avaient exprimé une incompréhension face à cette vente et entamé une action en justice.,fr,2025-11-18 19:14:51.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
42,"Un homme, entre 50 et 69 ans, Parisien, cadre… Voici le portrait-robot du « super-riche » français","Les Français les plus riches sont plus souvent cadres ou indépendants, vivent en couple sans enfant et cumulent revenus importants, biens immobiliers, assurance vie, placements et patrimoine professionnel",fr,2025-11-18 19:12:39.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
45,Edouard Philippe persiste et signe sur le départ anticipé d’Emmanuel Macron,"Au Salon des maires à Paris, Edouard Philippe a réitéré sa volonté de voir Emmanuel Macron partir de manière anticipée",fr,2025-11-18 19:09:47.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
6,"Le groupe Nestlé peut continuer à commercialiser ses eaux Perrier sous l'appellation ""eau minérale naturelle"", tranche la justice","Le tribunal de Nanterre avait été saisi au printemps par l'UFC-Que choisir, qui demandait une ""interdiction de commercialisation"" et ""la cessation des tromperies"".",fr,2025-11-18 19:07:11.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
70,Meta remporte une victoire majeure et ne devra pas vendre WhatsApp ni Instagram,Un juge américain a estimé mardi que l’autorité de la concurrence américaine n’avait pas réussi à prouver la situation de « monopole » du groupe de Mark Zuckerberg.,fr,2025-11-18 19:05:33.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
29,"Narcobanditisme : ""Une quinzaine de magistrats menacés sont sous protection rapprochée"", selon le porte-parole du ministère de la Justice","Sacha Straub-Kahn indique que certains magistrats sont protégés de façon ""structurelle"" et d'autres ""de façon temporaire"" car menacés par des gens sur lesquels ils enquêtent.",fr,2025-11-18 18:47:22.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
5,"Narcotrafic : ""Acheter de la cocaïne"", c'est ""être complice"", estime Emmanuel Macron","Le président de la République a convoqué une réunion, mardi à l'Elysée, entre les ministres concernés et les acteurs de la lutte contre le narcotrafic.",fr,2025-11-18 18:45:20.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
32,"""Eau minérale naturelle"" Perrier : l'UFC-Que Choisir dénonce ""une décision qui n'est pas à la hauteur""","L'association de consommateurs exprime sa colère après que la justice a autorisé la poursuite de la commercialisation des eaux Perrier sous l'appellation ""eau minérale naturelle"".",fr,2025-11-18 18:35:54.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
37,A quel prix la Grèce rembourse-t-elle les milliards prêtés par la France ?,"Alors que la Grèce a connu en 2010 une grave crise, qui l’a conduite à solliciter l’aide du FMI et de l’UE, ses finances publiques ont été redressées au prix d’une forte austérité, souligne Joëlle Dalègre, spécialiste du pays méditerranéen",fr,2025-11-18 18:34:21.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
39,Guerre en Ukraine : Le Kremlin reproche à la France d'« alimenter » la guerre et des saboteurs en fuite,"« 20 Minutes » fait le point pour vous tous les soirs sur le conflit en Ukraine. Ce mardi, le Kremlin a (mal) réagi à l’accord « historique » sur les Rafale entre la France et Kiev",fr,2025-11-18 18:32:22.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
28,Onze ex-ministres étrillent les propositions de Sébastien Lecornu sur les agences régionales de santé,"Vendredi, le Premier ministre s'est déclaré favorable à une ""réforme profonde"" des ARS, bras armé de l'Etat en région pour faire appliquer la politique de santé, et a prôné des transferts de compétences au profit des préfets et des départements.",fr,2025-11-18 18:25:00.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
27,"Le Sénat adopte le projet de loi contre la fraude sociale et fiscale, la gauche s'inquiète d'une ""stigmatisation"" des chômeurs",Le texte est désormais entre les mains des députés. Le gouvernement espère tirer de ce plan plus de deux milliards d'euros dès 2026.,fr,2025-11-18 18:20:25.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
40,Seine-et-Marne : Le rappeur Zola interpellé pour séquestration et violences avec arme sur un fan,Un fan avait voulu le prendre en photo à son domicile et aurait été séquestré et torturé pendant deux heures,fr,2025-11-18 18:07:06.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
31,Assassinat de Mehdi Kessaci : l'enquête est transférée à la juridiction nationale de lutte contre la criminalité organisée à Paris,"Le parquet de Marseille s'est rapidement orienté vers la piste d'un ""assassinat d'avertissement"" visant le frère de la victime, Amine Kessaci, un militant écologiste engagé dans la lutte contre le narcotrafic.",fr,2025-11-18 18:04:34.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
35,« Notre histoire de France » : Sonia Rolland se « sent légitime à incarner un visage de la France et son histoire »,"Sonia Rolland est la nouvelle narratrice de la série documentaire historique de France 2, « Notre histoire de France »",fr,2025-11-18 18:01:06.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
22,Le rappeur Zola placé en garde à vue pour séquestration et violence avec arme,"Les faits ont eu lieu au début du mois en Seine-et-Marne, où réside le rappeur.",fr,2025-11-18 18:00:27.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
17,"INFO FRANCETV. ""Paiements retrouvés"" : les premiers résultats de l'enquête interne d'Engie sur les éventuels liens entre Rachida Dati et GDF Suez","Cette procédure confirme des révélations de ""Complément d'enquête"" et du ""Nouvel Obs"" sur des documents exclusifs faisant apparaître que Rachida Dati a perçu 299 000 euros de la part d’un cabinet d’avocats auquel GDF Suez avait versé la même somme. Elle était alors eurodéputée et prenait des positions jugées favorables au secteur gazier. Elle a toujours nié avoir le groupe comme client dans ses activités d’avocate.",fr,2025-11-18 18:00:15.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
75,"Margaret Atwood : « Les romanciers n’en savent pas plus que les autres sur la nature humaine. Souvent, ils en savent même moins »","La célèbre écrivaine canadienne, autrice de « La Servante écarlate », vient de publier ses Mémoires, sous le titre « Le Livre des vies ». Elle s’est confiée au « Monde des livres », avant de fêter, ce soir mardi 18 novembre, ses 86 ans au Théâtre de la Ville, à Paris.",fr,2025-11-18 18:00:05.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
68,"« Ma mère m’a portée sur son dos, sous les tirs des bandits » : à Haïti, les alentours de Port-au-Prince assaillis par les gangs","Haïti compte 1,4 million de déplacés, victimes des bandes criminelles qui contrôlent une grande partie de l’agglomération de la capitale. Ces derniers mois, les forces de l’ordre et des milices d’autodéfense semblent néanmoins avoir réussi à endiguer leur avancée.",fr,2025-11-18 18:00:04.000000,Flux RSS Multi-Sources,3,Données Opérationnelles,2025-11-18 22:27:31.006977,rss
